utr,settled_amount,settlement_date,batch_reference
UTR_000001,84310.00,2026-01-06,ORD_00001
UTR_000002,36548.00,2026-01-08,ORD_00002
UTR_000003,97030.00,2026-01-04,ORD_00003
UTR_000004,77897.00,2026-01-14,ORD_00004
UTR_000005,12780.00,2026-01-09,ORD_00005
UTR_000006,79407.00,2026-01-01,ORD_00006
UTR_000007,94350.00,2026-01-22,ORD_00007
UTR_000008,29393.00,2026-01-16,ORD_00008
UTR_000009,1351.00,2026-01-27,ORD_00009
UTR_000010,55892.00,2026-01-11,ORD_00010
UTR_000011,28721.00,2026-01-25,ORD_00011
UTR_000012,12656.00,2026-01-14,ORD_00012
UTR_000013,45582.00,2026-01-20,ORD_00013
UTR_000014,96147.00,2026-01-15,ORD_00014
UTR_000015,50115.00,2026-01-04,ORD_00015
UTR_000016,82897.00,2026-01-22,ORD_00016
UTR_000017,25703.00,2026-01-23,ORD_00017
UTR_000018,87173.00,2026-01-08,ORD_00018
UTR_000019,31012.00,2026-01-29,ORD_00019
UTR_000020,36934.00,2026-01-15,ORD_00020
UTR_000021,49020.00,2026-01-14,ORD_00021
UTR_000022,35493.00,2026-01-25,ORD_00022
UTR_000023,83727.00,2026-01-08,ORD_00023
UTR_000024,32587.00,2026-01-07,ORD_00024
UTR_000025,35882.00,2026-01-30,ORD_00025
UTR_000026,90233.00,2026-01-11,ORD_00026
UTR_000027,4707.00,2026-01-27,ORD_00027
UTR_000028,35593.00,2026-01-05,ORD_00028
UTR_000029,94598.00,2026-01-13,ORD_00029
UTR_000030,65935.00,2026-01-13,ORD_00030
UTR_000031,35218.00,2026-01-07,ORD_00031
UTR_000032,74079.00,2026-01-20,ORD_00032
UTR_000033,77122.00,2026-01-15,ORD_00033
UTR_000034,47947.00,2026-01-10,ORD_00034
UTR_000035,65186.00,2026-01-03,ORD_00035
UTR_000036,20533.00,2026-01-23,ORD_00036
UTR_000037,55833.00,2026-01-21,ORD_00037
UTR_000038,50519.00,2026-01-22,ORD_00038
UTR_000039,33453.00,2026-01-20,ORD_00039
UTR_000040,94966.00,2026-01-05,ORD_00040
UTR_000041,84512.00,2026-01-12,ORD_00041
UTR_000042,57485.00,2026-01-06,ORD_00042
UTR_000043,95146.00,2026-01-31,ORD_00043
UTR_000044,23916.00,2026-01-19,ORD_00044
UTR_000045,39617.00,2026-01-29,ORD_00045
UTR_000046,26571.00,2026-01-05,ORD_00046
UTR_000047,71197.00,2026-01-25,ORD_00047
UTR_000048,79004.00,2026-01-11,ORD_00048
UTR_000049,15162.00,2026-01-31,ORD_00049
UTR_000050,31885.00,2026-01-04,ORD_00050
UTR_000051,10822.00,2026-01-03,ORD_00051
UTR_000052,70322.00,2026-01-25,ORD_00052
UTR_000053,86974.00,2026-01-16,ORD_00053
UTR_000054,35241.00,2026-01-18,ORD_00054
UTR_000055,28260.00,2026-02-01,ORD_00055
UTR_000056,90922.00,2026-01-08,ORD_00056
UTR_000057,88539.00,2026-01-22,ORD_00057
UTR_000058,68339.00,2026-01-15,ORD_00058
UTR_000059,29951.00,2026-01-03,ORD_00059
UTR_000060,77610.00,2026-01-20,ORD_00060
UTR_000061,29364.00,2026-01-03,ORD_00061
UTR_000062,83219.00,2026-01-02,ORD_00062
UTR_000063,4617.00,2026-01-28,ORD_00063
UTR_000064,67891.00,2026-01-10,ORD_00064
UTR_000065,64124.00,2026-01-07,ORD_00065
UTR_000066,95311.00,2026-02-01,ORD_00066
UTR_000067,62453.00,2026-01-09,ORD_00067
UTR_000068,25457.00,2026-01-06,ORD_00068
UTR_000069,56998.00,2026-01-13,ORD_00069
UTR_000070,61713.00,2026-01-30,ORD_00070
UTR_000071,86149.00,2026-01-21,ORD_00071
UTR_000072,53272.00,2026-01-24,ORD_00072
UTR_000073,33091.00,2026-01-09,ORD_00073
UTR_000074,59300.00,2026-01-05,ORD_00074
UTR_000075,37009.00,2026-01-15,ORD_00075
UTR_000076,58582.00,2026-01-26,ORD_00076
UTR_000077,7130.00,2026-01-21,ORD_00077
UTR_000078,12724.00,2026-01-30,ORD_00078
UTR_000079,53769.00,2026-01-16,ORD_00079
UTR_000080,53065.00,2026-01-29,ORD_00080
UTR_000081,50172.00,2026-01-02,ORD_00081
UTR_000082,60138.00,2026-01-12,ORD_00082
UTR_000083,96248.00,2026-01-28,ORD_00083
UTR_000084,94663.00,2026-01-16,ORD_00084
UTR_000085,39390.00,2026-01-09,ORD_00085
UTR_000086,96934.00,2026-01-20,ORD_00086
UTR_000087,41604.00,2026-01-04,ORD_00087
UTR_000088,62993.00,2026-01-17,ORD_00088
UTR_000089,7955.00,2026-01-17,ORD_00089
UTR_000090,9481.00,2026-01-22,ORD_00090
UTR_000091,31328.00,2026-01-15,ORD_00091
UTR_000092,32771.00,2026-01-19,ORD_00092
UTR_000093,81683.00,2026-01-05,ORD_00093
UTR_000094,77003.00,2026-01-20,ORD_00094
UTR_000095,34679.00,2026-01-07,ORD_00095
UTR_000096,35314.00,2026-01-15,ORD_00096
UTR_000097,85107.00,2026-01-11,ORD_00097
UTR_000098,99048.00,2026-01-30,ORD_00098
UTR_000099,60568.00,2026-01-20,ORD_00099
UTR_000100,10102.00,2026-01-20,ORD_00100
UTR_000101,35260.00,2026-01-05,ORD_00101
UTR_000102,32518.00,2026-01-12,ORD_00102
UTR_000103,57933.00,2026-01-29,ORD_00103
UTR_000104,40151.00,2026-01-20,ORD_00104
UTR_000105,88038.00,2026-01-28,ORD_00105
UTR_000106,87451.00,2026-01-05,ORD_00106
UTR_000107,15629.00,2026-01-31,ORD_00107
UTR_000108,73012.00,2026-01-06,ORD_00108
UTR_000109,79776.00,2026-01-07,ORD_00109
UTR_000110,90611.00,2026-01-23,ORD_00110
UTR_000111,64532.00,2026-01-09,ORD_00111
UTR_000112,83636.00,2026-01-14,ORD_00112
UTR_000113,964.00,2026-01-13,ORD_00113
UTR_000114,34835.00,2026-01-08,ORD_00114
UTR_000115,92993.00,2026-01-14,ORD_00115
UTR_000116,15163.00,2026-01-05,ORD_00116
UTR_000117,5222.00,2026-01-29,ORD_00117
UTR_000118,72920.00,2026-01-05,ORD_00118
UTR_000119,5982.00,2026-01-10,ORD_00119
UTR_000120,47398.00,2026-01-09,ORD_00120
UTR_000121,13973.00,2026-01-13,ORD_00121
UTR_000122,81851.00,2026-01-24,ORD_00122
UTR_000123,21799.00,2026-01-27,ORD_00123
UTR_000124,3748.00,2026-01-07,ORD_00124
UTR_000125,88306.00,2026-01-29,ORD_00125
UTR_000126,21366.00,2026-01-27,ORD_00126
UTR_000127,5575.00,2026-01-28,ORD_00127
UTR_000128,26658.00,2026-01-28,ORD_00128
