order_id,correct_utr,is_resolvable,expected_reason_code
ORD_00001,UTR_000001,true,
ORD_00002,UTR_000002,true,
ORD_00003,UTR_000003,true,
ORD_00004,UTR_000004,true,
ORD_00005,UTR_000005,true,
ORD_00006,UTR_000006,true,
ORD_00007,UTR_000007,true,
ORD_00008,UTR_000008,true,
ORD_00009,UTR_000009,true,
ORD_00010,UTR_000010,true,
ORD_00011,UTR_000011,true,
ORD_00012,UTR_000012,true,
ORD_00013,UTR_000013,true,
ORD_00014,UTR_000014,true,
ORD_00015,UTR_000015,true,
ORD_00016,UTR_000016,true,
ORD_00017,UTR_000017,true,
ORD_00018,UTR_000018,true,
ORD_00019,UTR_000019,true,
ORD_00020,UTR_000020,true,
ORD_00021,UTR_000021,true,
ORD_00022,UTR_000022,true,
ORD_00023,UTR_000023,true,
ORD_00024,UTR_000024,true,
ORD_00025,UTR_000025,true,
ORD_00026,UTR_000026,true,
ORD_00027,UTR_000027,true,
ORD_00028,UTR_000028,true,
ORD_00029,UTR_000029,true,
ORD_00030,UTR_000030,true,
ORD_00031,UTR_000031,true,
ORD_00032,UTR_000032,true,
ORD_00033,UTR_000033,true,
ORD_00034,UTR_000034,true,
ORD_00035,UTR_000035,true,
ORD_00036,UTR_000036,true,
ORD_00037,UTR_000037,true,
ORD_00038,UTR_000038,true,
ORD_00039,UTR_000039,true,
ORD_00040,UTR_000040,true,
ORD_00041,UTR_000041,true,
ORD_00042,UTR_000042,true,
ORD_00043,UTR_000043,true,
ORD_00044,UTR_000044,true,
ORD_00045,UTR_000045,true,
ORD_00046,UTR_000046,true,
ORD_00047,UTR_000047,true,
ORD_00048,UTR_000048,true,
ORD_00049,UTR_000049,true,
ORD_00050,UTR_000050,true,
ORD_00051,UTR_000051,true,
ORD_00052,UTR_000052,true,
ORD_00053,UTR_000053,true,
ORD_00054,UTR_000054,true,
ORD_00055,UTR_000055,true,
ORD_00056,UTR_000056,true,
ORD_00057,UTR_000057,true,
ORD_00058,UTR_000058,true,
ORD_00059,UTR_000059,true,
ORD_00060,UTR_000060,true,
ORD_00061,UTR_000061,true,
ORD_00062,UTR_000062,true,
ORD_00063,UTR_000063,true,
ORD_00064,UTR_000064,true,
ORD_00065,UTR_000065,true,
ORD_00066,UTR_000066,true,
ORD_00067,UTR_000067,true,
ORD_00068,UTR_000068,true,
ORD_00069,UTR_000069,true,
ORD_00070,UTR_000070,true,
ORD_00071,UTR_000071,true,
ORD_00072,UTR_000072,true,
ORD_00073,UTR_000073,true,
ORD_00074,UTR_000074,true,
ORD_00075,UTR_000075,true,
ORD_00076,UTR_000076,true,
ORD_00077,UTR_000077,true,
ORD_00078,UTR_000078,true,
ORD_00079,UTR_000079,true,
ORD_00080,UTR_000080,true,
ORD_00081,UTR_000081,true,
ORD_00082,UTR_000082,true,
ORD_00083,UTR_000083,true,
ORD_00084,UTR_000084,true,
ORD_00085,UTR_000085,true,
ORD_00086,UTR_000086,true,
ORD_00087,UTR_000087,true,
ORD_00088,UTR_000088,true,
ORD_00089,UTR_000089,true,
ORD_00090,UTR_000090,true,
ORD_00091,UTR_000091,true,
ORD_00092,UTR_000092,true,
ORD_00093,UTR_000093,true,
ORD_00094,UTR_000094,true,
ORD_00095,UTR_000095,true,
ORD_00096,UTR_000096,true,
ORD_00097,UTR_000097,true,
ORD_00098,UTR_000098,true,
ORD_00099,UTR_000099,true,
ORD_00100,UTR_000100,true,
ORD_00101,UTR_000101,true,
ORD_00102,UTR_000102,true,
ORD_00103,UTR_000103,true,
ORD_00104,UTR_000104,true,
ORD_00105,UTR_000105,true,
ORD_00106,UTR_000106,true,
ORD_00107,UTR_000107,true,
ORD_00108,UTR_000108,true,
ORD_00109,UTR_000109,true,
ORD_00110,UTR_000110,true,
ORD_00111,UTR_000111,true,
ORD_00112,UTR_000112,true,
ORD_00113,UTR_000113,true,
ORD_00114,UTR_000114,true,
ORD_00115,UTR_000115,true,
ORD_00116,UTR_000116,true,
ORD_00117,UTR_000117,true,
ORD_00118,UTR_000118,true,
ORD_00119,UTR_000119,true,
ORD_00120,UTR_000120,true,
ORD_00121,UTR_000121,true,
ORD_00122,UTR_000122,true,
ORD_00123,UTR_000123,true,
ORD_00124,UTR_000124,true,
ORD_00125,UTR_000125,true,
ORD_00126,UTR_000126,true,
ORD_00127,UTR_000127,true,
ORD_00128,UTR_000128,true,
ORD_00129,UTR_000129,true,
ORD_00130,UTR_000130,true,
ORD_00131,UTR_000131,true,
ORD_00132,UTR_000132,true,
ORD_00133,UTR_000133,true,
ORD_00134,UTR_000134,true,
ORD_00135,UTR_000135,true,
ORD_00136,UTR_000136,true,
ORD_00137,UTR_000137,true,
ORD_00138,UTR_000138,true,
ORD_00139,UTR_000139,true,
ORD_00140,UTR_000140,true,
ORD_00141,UTR_000141,true,
ORD_00142,UTR_000142,true,
ORD_00143,UTR_000143,true,
ORD_00144,UTR_000144,true,
ORD_00145,UTR_000145,true,
ORD_00146,UTR_000146,true,
ORD_00147,UTR_000147,true,
ORD_00148,UTR_000148,true,
ORD_00149,UTR_000149,true,
ORD_00150,UTR_000150,true,
ORD_00151,UTR_000151,true,
ORD_00152,UTR_000152,true,
ORD_00153,UTR_000153,true,
ORD_00154,UTR_000154,true,
ORD_00155,UTR_000155,true,
ORD_00156,UTR_000156,true,
ORD_00157,UTR_000157,true,
ORD_00158,UTR_000158,true,
ORD_00159,UTR_000159,true,
ORD_00160,UTR_000160,true,
ORD_00161,UTR_000161,true,
ORD_00162,UTR_000162,true,
ORD_00163,UTR_000163,true,
ORD_00164,UTR_000164,true,
ORD_00165,UTR_000165,true,
ORD_00166,UTR_000166,true,
ORD_00167,UTR_000167,true,
ORD_00168,UTR_000168,true,
ORD_00169,UTR_000169,true,
ORD_00170,UTR_000170,true,
ORD_00171,UTR_000171,true,
ORD_00172,UTR_000172,true,
ORD_00173,UTR_000173,true,
ORD_00174,UTR_000174,true,
ORD_00175,UTR_000175,true,
ORD_00176,UTR_000176,true,
ORD_00177,UTR_000177,true,
ORD_00178,UTR_000178,true,
ORD_00179,UTR_000179,true,
ORD_00180,UTR_000180,true,
ORD_00181,UTR_000181,true,
ORD_00182,UTR_000182,true,
ORD_00183,UTR_000183,true,
ORD_00184,UTR_000184,true,
ORD_00185,UTR_000185,true,
ORD_00186,UTR_000186,true,
ORD_00187,UTR_000187,true,
ORD_00188,UTR_000188,true,
ORD_00189,UTR_000189,true,
ORD_00190,UTR_000190,true,
ORD_00191,UTR_000191,true,
ORD_00192,UTR_000192,true,
ORD_00193,UTR_000193,true,
ORD_00194,UTR_000194,true,
ORD_00195,UTR_000195,true,
ORD_00196,UTR_000196,true,
ORD_00197,UTR_000197,true,
ORD_00198,UTR_000198,true,
ORD_00199,UTR_000199,true,
ORD_00200,UTR_000200,true,
ORD_00201,UTR_000201,true,
ORD_00202,UTR_000202,true,
ORD_00203,UTR_000203,true,
ORD_00204,UTR_000204,true,
ORD_00205,UTR_000205,true,
ORD_00206,UTR_000206,true,
ORD_00207,UTR_000207,true,
ORD_00208,UTR_000208,true,
ORD_00209,UTR_000209,true,
ORD_00210,UTR_000210,true,
ORD_00211,UTR_000211,true,
ORD_00212,UTR_000212,true,
ORD_00213,UTR_000213,true,
ORD_00214,UTR_000214,true,
ORD_00215,UTR_000215,true,
ORD_00216,UTR_000216,true,
ORD_00217,UTR_000217,true,
ORD_00218,UTR_000218,true,
ORD_00219,UTR_000219,true,
ORD_00220,UTR_000220,true,
ORD_00221,UTR_000221,true,
ORD_00222,UTR_000222,true,
ORD_00223,UTR_000223,true,
ORD_00224,UTR_000224,true,
ORD_00225,UTR_000225,true,
ORD_00226,UTR_000226,true,
ORD_00227,UTR_000227,true,
ORD_00228,UTR_000228,true,
ORD_00229,UTR_000229,true,
ORD_00230,UTR_000230,true,
ORD_00231,UTR_000231,true,
ORD_00232,UTR_000232,true,
ORD_00233,UTR_000233,true,
ORD_00234,UTR_000234,true,
ORD_00235,UTR_000235,true,
ORD_00236,UTR_000236,true,
ORD_00237,UTR_000237,true,
ORD_00238,UTR_000238,true,
ORD_00239,UTR_000239,true,
ORD_00240,UTR_000240,true,
ORD_00241,UTR_000241,true,
ORD_00242,UTR_000242,true,
ORD_00243,UTR_000243,true,
ORD_00244,UTR_000244,true,
ORD_00245,UTR_000245,true,
ORD_00246,UTR_000246,true,
ORD_00247,UTR_000247,true,
ORD_00248,UTR_000248,true,
ORD_00249,UTR_000249,true,
ORD_00250,UTR_000250,true,
ORD_00251,UTR_000251,true,
ORD_00252,UTR_000252,true,
ORD_00253,UTR_000253,true,
ORD_00254,UTR_000254,true,
ORD_00255,UTR_000255,true,
ORD_00256,UTR_000256,true,
ORD_00257,UTR_000257,true,
ORD_00258,UTR_000258,true,
ORD_00259,UTR_000259,true,
ORD_00260,UTR_000260,true,
ORD_00261,UTR_000261,true,
ORD_00262,UTR_000262,true,
ORD_00263,UTR_000263,true,
ORD_00264,UTR_000264,true,
ORD_00265,UTR_000265,true,
ORD_00266,UTR_000266,true,
ORD_00267,UTR_000267,true,
ORD_00268,UTR_000268,true,
ORD_00269,UTR_000269,true,
ORD_00270,UTR_000270,true,
ORD_00271,UTR_000271,true,
ORD_00272,UTR_000272,true,
ORD_00273,UTR_000273,true,
ORD_00274,UTR_000274,true,
ORD_00275,UTR_000275,true,
ORD_00276,UTR_000276,true,
ORD_00277,UTR_000277,true,
ORD_00278,UTR_000278,true,
ORD_00279,UTR_000279,true,
ORD_00280,UTR_000280,true,
ORD_00281,UTR_BATCH_001,true,
ORD_00282,UTR_BATCH_001,true,
ORD_00283,UTR_BATCH_001,true,
ORD_00284,UTR_BATCH_001,true,
ORD_00285,UTR_BATCH_001,true,
ORD_00286,UTR_BATCH_002,true,
ORD_00287,UTR_BATCH_002,true,
ORD_00288,UTR_BATCH_002,true,
ORD_00289,UTR_BATCH_002,true,
ORD_00290,UTR_BATCH_002,true,
ORD_00291,UTR_BATCH_003,true,
ORD_00292,UTR_BATCH_003,true,
ORD_00293,UTR_BATCH_003,true,
ORD_00294,UTR_BATCH_003,true,
ORD_00295,UTR_BATCH_003,true,
ORD_00296,UTR_BATCH_004,true,
ORD_00297,UTR_BATCH_004,true,
ORD_00298,UTR_BATCH_004,true,
ORD_00299,UTR_BATCH_004,true,
ORD_00300,UTR_BATCH_004,true,
ORD_00301,UTR_BATCH_005,true,
ORD_00302,UTR_BATCH_005,true,
ORD_00303,UTR_BATCH_005,true,
ORD_00304,UTR_BATCH_005,true,
ORD_00305,UTR_BATCH_005,true,
ORD_00306,UTR_BATCH_006,true,
ORD_00307,UTR_BATCH_006,true,
ORD_00308,UTR_BATCH_006,true,
ORD_00309,UTR_BATCH_006,true,
ORD_00310,UTR_BATCH_006,true,
ORD_00311,UTR_BATCH_007,true,
ORD_00312,UTR_BATCH_007,true,
ORD_00313,UTR_BATCH_007,true,
ORD_00314,UTR_BATCH_007,true,
ORD_00315,UTR_BATCH_007,true,
ORD_00316,UTR_BATCH_008,true,
ORD_00317,UTR_BATCH_008,true,
ORD_00318,UTR_BATCH_008,true,
ORD_00319,UTR_BATCH_008,true,
ORD_00320,UTR_BATCH_008,true,
ORD_00321,UTR_BATCH_009,true,
ORD_00322,UTR_BATCH_009,true,
ORD_00323,UTR_BATCH_009,true,
ORD_00324,UTR_BATCH_009,true,
ORD_00325,UTR_BATCH_009,true,
ORD_00326,UTR_BATCH_010,true,
ORD_00327,UTR_BATCH_010,true,
ORD_00328,UTR_BATCH_010,true,
ORD_00329,UTR_BATCH_010,true,
ORD_00330,UTR_BATCH_010,true,
ORD_00331,UTR_BATCH_011,true,
ORD_00332,UTR_BATCH_011,true,
ORD_00333,UTR_BATCH_011,true,
ORD_00334,UTR_BATCH_011,true,
ORD_00335,UTR_BATCH_011,true,
ORD_00336,UTR_BATCH_012,true,
ORD_00337,UTR_BATCH_012,true,
ORD_00338,UTR_BATCH_012,true,
ORD_00339,UTR_BATCH_012,true,
ORD_00340,UTR_BATCH_012,true,
ORD_00341,UTR_EDGE_001,true,
ORD_00342,UTR_EDGE_002,true,
ORD_00343,UTR_EDGE_003,true,
ORD_00344,UTR_EDGE_004,true,
ORD_00345,UTR_EDGE_005,true,
ORD_00346,UTR_EDGE_006,true,
ORD_00347,UTR_EDGE_007,true,
ORD_00348,UTR_EDGE_008,true,
ORD_00349,UTR_EDGE_009,true,
ORD_00350,UTR_EDGE_010,true,
ORD_00351,UTR_EDGE_011,true,
ORD_00352,UTR_EDGE_012,true,
ORD_00353,UTR_EDGE_013,true,
ORD_00354,UTR_EDGE_014,true,
ORD_00355,UTR_EDGE_015,true,
ORD_00356,UTR_EDGE_016,true,
ORD_00357,UTR_EDGE_017,true,
ORD_00358,UTR_EDGE_018,true,
ORD_00359,UTR_EDGE_019,true,
ORD_00360,UTR_EDGE_020,true,
ORD_00361,UTR_EDGE_021,true,
ORD_00362,UTR_EDGE_022,true,
ORD_00363,UTR_EDGE_023,true,
ORD_00364,UTR_EDGE_024,true,
ORD_00365,UTR_EDGE_025,true,
ORD_00366,UTR_EDGE_026,true,
ORD_00367,UTR_EDGE_027,true,
ORD_00368,UTR_EDGE_028,true,
ORD_00369,UTR_EDGE_029,true,
ORD_00370,UTR_EDGE_030,true,
ORD_00371,UTR_EDGE_031,true,
ORD_00372,UTR_EDGE_032,true,
ORD_00373,UTR_EDGE_033,true,
ORD_00374,UTR_EDGE_034,true,
ORD_00375,UTR_EDGE_035,true,
ORD_00376,UTR_EDGE_036,true,
ORD_00377,UTR_EDGE_037,true,
ORD_00378,UTR_EDGE_038,true,
ORD_00379,UTR_EDGE_039,true,
ORD_00380,UTR_EDGE_040,true,
ORD_00381,,false,missing_settlement
ORD_00382,,false,missing_settlement
ORD_00383,,false,missing_settlement
ORD_00384,,false,missing_settlement
ORD_00385,,false,missing_settlement
ORD_00386,,false,missing_settlement
ORD_00387,,false,missing_settlement
ORD_00388,,false,missing_settlement
ORD_00389,,false,duplicate_entry
ORD_00390,,false,duplicate_entry
ORD_00391,,false,duplicate_entry
ORD_00392,,false,duplicate_entry
ORD_00393,,false,refund_not_netted
ORD_00394,,false,refund_not_netted
ORD_00395,,false,refund_not_netted
ORD_00396,,false,refund_not_netted
ORD_00397,,false,currency_rounding
