order_id,amount,currency,status,created_at,merchant_id
ORD_00001,84310.00,INR,success,2026-01-04,MERCHANT_001
ORD_00002,36548.00,INR,success,2026-01-08,MERCHANT_002
ORD_00003,97030.00,INR,success,2026-01-04,MERCHANT_005
ORD_00004,77897.00,INR,success,2026-01-14,MERCHANT_001
ORD_00005,12780.00,INR,success,2026-01-07,MERCHANT_002
ORD_00006,79407.00,INR,success,2026-01-01,MERCHANT_005
ORD_00007,94350.00,INR,success,2026-01-21,MERCHANT_005
ORD_00008,29393.00,INR,success,2026-01-15,MERCHANT_005
ORD_00009,1351.00,INR,success,2026-01-25,MERCHANT_002
ORD_00010,55892.00,INR,success,2026-01-11,MERCHANT_003
ORD_00011,28721.00,INR,success,2026-01-25,MERCHANT_003
ORD_00012,12656.00,INR,success,2026-01-13,MERCHANT_001
ORD_00013,45582.00,INR,success,2026-01-20,MERCHANT_003
ORD_00014,96147.00,INR,success,2026-01-15,MERCHANT_005
ORD_00015,50115.00,INR,success,2026-01-03,MERCHANT_005
ORD_00016,82897.00,INR,success,2026-01-20,MERCHANT_003
ORD_00017,25703.00,INR,success,2026-01-23,MERCHANT_001
ORD_00018,87173.00,INR,success,2026-01-08,MERCHANT_003
ORD_00019,31012.00,INR,success,2026-01-28,MERCHANT_001
ORD_00020,36934.00,INR,success,2026-01-15,MERCHANT_003
ORD_00021,49020.00,INR,success,2026-01-12,MERCHANT_002
ORD_00022,35493.00,INR,success,2026-01-23,MERCHANT_001
ORD_00023,83727.00,INR,success,2026-01-06,MERCHANT_005
ORD_00024,32587.00,INR,success,2026-01-06,MERCHANT_004
ORD_00025,35882.00,INR,success,2026-01-30,MERCHANT_005
ORD_00026,90233.00,INR,success,2026-01-11,MERCHANT_001
ORD_00027,4707.00,INR,success,2026-01-26,MERCHANT_003
ORD_00028,35593.00,INR,success,2026-01-03,MERCHANT_002
ORD_00029,94598.00,INR,success,2026-01-11,MERCHANT_002
ORD_00030,65935.00,INR,success,2026-01-13,MERCHANT_004
ORD_00031,35218.00,INR,success,2026-01-05,MERCHANT_002
ORD_00032,74079.00,INR,success,2026-01-18,MERCHANT_003
ORD_00033,77122.00,INR,success,2026-01-14,MERCHANT_005
ORD_00034,47947.00,INR,success,2026-01-08,MERCHANT_002
ORD_00035,65186.00,INR,success,2026-01-03,MERCHANT_001
ORD_00036,20533.00,INR,success,2026-01-21,MERCHANT_002
ORD_00037,55833.00,INR,success,2026-01-20,MERCHANT_001
ORD_00038,50519.00,INR,success,2026-01-20,MERCHANT_004
ORD_00039,33453.00,INR,success,2026-01-18,MERCHANT_001
ORD_00040,94966.00,INR,success,2026-01-04,MERCHANT_005
ORD_00041,84512.00,INR,success,2026-01-11,MERCHANT_001
ORD_00042,57485.00,INR,success,2026-01-06,MERCHANT_004
ORD_00043,95146.00,INR,success,2026-01-29,MERCHANT_003
ORD_00044,23916.00,INR,success,2026-01-17,MERCHANT_001
ORD_00045,39617.00,INR,success,2026-01-27,MERCHANT_005
ORD_00046,26571.00,INR,success,2026-01-05,MERCHANT_003
ORD_00047,71197.00,INR,success,2026-01-25,MERCHANT_005
ORD_00048,79004.00,INR,success,2026-01-11,MERCHANT_004
ORD_00049,15162.00,INR,success,2026-01-30,MERCHANT_003
ORD_00050,31885.00,INR,success,2026-01-02,MERCHANT_002
ORD_00051,10822.00,INR,success,2026-01-03,MERCHANT_004
ORD_00052,70322.00,INR,success,2026-01-25,MERCHANT_002
ORD_00053,86974.00,INR,success,2026-01-16,MERCHANT_005
ORD_00054,35241.00,INR,success,2026-01-17,MERCHANT_005
ORD_00055,28260.00,INR,success,2026-01-30,MERCHANT_005
ORD_00056,90922.00,INR,success,2026-01-07,MERCHANT_003
ORD_00057,88539.00,INR,success,2026-01-21,MERCHANT_003
ORD_00058,68339.00,INR,success,2026-01-15,MERCHANT_001
ORD_00059,29951.00,INR,success,2026-01-03,MERCHANT_003
ORD_00060,77610.00,INR,success,2026-01-18,MERCHANT_002
ORD_00061,29364.00,INR,success,2026-01-01,MERCHANT_001
ORD_00062,83219.00,INR,success,2026-01-02,MERCHANT_002
ORD_00063,4617.00,INR,success,2026-01-28,MERCHANT_003
ORD_00064,67891.00,INR,success,2026-01-08,MERCHANT_003
ORD_00065,64124.00,INR,success,2026-01-07,MERCHANT_005
ORD_00066,95311.00,INR,success,2026-01-30,MERCHANT_005
ORD_00067,62453.00,INR,success,2026-01-08,MERCHANT_004
ORD_00068,25457.00,INR,success,2026-01-04,MERCHANT_001
ORD_00069,56998.00,INR,success,2026-01-12,MERCHANT_004
ORD_00070,61713.00,INR,success,2026-01-28,MERCHANT_001
ORD_00071,86149.00,INR,success,2026-01-21,MERCHANT_001
ORD_00072,53272.00,INR,success,2026-01-24,MERCHANT_003
ORD_00073,33091.00,INR,success,2026-01-07,MERCHANT_002
ORD_00074,59300.00,INR,success,2026-01-05,MERCHANT_004
ORD_00075,37009.00,INR,success,2026-01-15,MERCHANT_002
ORD_00076,58582.00,INR,success,2026-01-26,MERCHANT_005
ORD_00077,7130.00,INR,success,2026-01-21,MERCHANT_005
ORD_00078,12724.00,INR,success,2026-01-30,MERCHANT_002
ORD_00079,53769.00,INR,success,2026-01-16,MERCHANT_004
ORD_00080,53065.00,INR,success,2026-01-29,MERCHANT_001
ORD_00081,50172.00,INR,success,2026-01-01,MERCHANT_004
ORD_00082,60138.00,INR,success,2026-01-10,MERCHANT_004
ORD_00083,96248.00,INR,success,2026-01-26,MERCHANT_005
ORD_00084,94663.00,INR,success,2026-01-16,MERCHANT_002
ORD_00085,39390.00,INR,success,2026-01-07,MERCHANT_001
ORD_00086,96934.00,INR,success,2026-01-18,MERCHANT_001
ORD_00087,41604.00,INR,success,2026-01-02,MERCHANT_001
ORD_00088,62993.00,INR,success,2026-01-17,MERCHANT_005
ORD_00089,7955.00,INR,success,2026-01-17,MERCHANT_001
ORD_00090,9481.00,INR,success,2026-01-20,MERCHANT_001
ORD_00091,31328.00,INR,success,2026-01-13,MERCHANT_001
ORD_00092,32771.00,INR,success,2026-01-19,MERCHANT_005
ORD_00093,81683.00,INR,success,2026-01-03,MERCHANT_004
ORD_00094,77003.00,INR,success,2026-01-19,MERCHANT_005
ORD_00095,34679.00,INR,success,2026-01-07,MERCHANT_003
ORD_00096,35314.00,INR,success,2026-01-13,MERCHANT_002
ORD_00097,85107.00,INR,success,2026-01-10,MERCHANT_004
ORD_00098,99048.00,INR,success,2026-01-30,MERCHANT_001
ORD_00099,60568.00,INR,success,2026-01-20,MERCHANT_005
ORD_00100,10102.00,INR,success,2026-01-18,MERCHANT_002
ORD_00101,35260.00,INR,success,2026-01-05,MERCHANT_003
ORD_00102,32518.00,INR,success,2026-01-12,MERCHANT_003
ORD_00103,57933.00,INR,success,2026-01-27,MERCHANT_005
ORD_00104,40151.00,INR,success,2026-01-20,MERCHANT_005
ORD_00105,88038.00,INR,success,2026-01-27,MERCHANT_005
ORD_00106,87451.00,INR,success,2026-01-04,MERCHANT_002
ORD_00107,15629.00,INR,success,2026-01-29,MERCHANT_001
ORD_00108,73012.00,INR,success,2026-01-05,MERCHANT_003
ORD_00109,79776.00,INR,success,2026-01-07,MERCHANT_003
ORD_00110,90611.00,INR,success,2026-01-21,MERCHANT_003
ORD_00111,64532.00,INR,success,2026-01-09,MERCHANT_001
ORD_00112,83636.00,INR,success,2026-01-14,MERCHANT_003
ORD_00113,964.00,INR,success,2026-01-11,MERCHANT_002
ORD_00114,34835.00,INR,success,2026-01-06,MERCHANT_004
ORD_00115,92993.00,INR,success,2026-01-14,MERCHANT_005
ORD_00116,15163.00,INR,success,2026-01-03,MERCHANT_002
ORD_00117,5222.00,INR,success,2026-01-27,MERCHANT_003
ORD_00118,72920.00,INR,success,2026-01-05,MERCHANT_004
ORD_00119,5982.00,INR,success,2026-01-10,MERCHANT_003
ORD_00120,47398.00,INR,success,2026-01-07,MERCHANT_002
ORD_00121,13973.00,INR,success,2026-01-12,MERCHANT_005
ORD_00122,81851.00,INR,success,2026-01-24,MERCHANT_002
ORD_00123,21799.00,INR,success,2026-01-26,MERCHANT_002
ORD_00124,3748.00,INR,success,2026-01-06,MERCHANT_003
ORD_00125,88306.00,INR,success,2026-01-28,MERCHANT_002
ORD_00126,21366.00,INR,success,2026-01-26,MERCHANT_001
ORD_00127,5575.00,INR,success,2026-01-28,MERCHANT_004
ORD_00128,26658.00,INR,success,2026-01-27,MERCHANT_004
ORD_00129,40501.00,INR,success,2026-01-27,MERCHANT_002
ORD_00130,3601.00,INR,success,2026-01-22,MERCHANT_002
ORD_00131,43525.00,INR,success,2026-01-09,MERCHANT_001
ORD_00132,46525.00,INR,success,2026-01-21,MERCHANT_005
ORD_00133,89565.00,INR,success,2026-01-27,MERCHANT_005
ORD_00134,4117.00,INR,success,2026-01-04,MERCHANT_003
ORD_00135,76599.00,INR,success,2026-01-09,MERCHANT_001
ORD_00136,78693.00,INR,success,2026-01-14,MERCHANT_003
