ledger_entry_id,recorded_amount,recorded_date,order_id_ref
LEDGER_00001,84310.00,2026-01-04,ORD_00001
LEDGER_00002,36548.00,2026-01-08,ORD_00002
LEDGER_00003,97030.00,2026-01-04,ORD_00003
LEDGER_00004,77897.00,2026-01-14,ORD_00004
LEDGER_00005,12780.00,2026-01-07,ORD_00005
LEDGER_00006,79407.00,2026-01-01,ORD_00006
LEDGER_00007,94350.00,2026-01-21,ORD_00007
LEDGER_00008,29393.00,2026-01-15,ORD_00008
LEDGER_00009,1351.00,2026-01-25,ORD_00009
LEDGER_00010,55892.00,2026-01-11,ORD_00010
LEDGER_00011,28721.00,2026-01-25,ORD_00011
LEDGER_00012,12656.00,2026-01-13,ORD_00012
LEDGER_00013,45582.00,2026-01-20,ORD_00013
LEDGER_00014,96147.00,2026-01-15,ORD_00014
LEDGER_00015,50115.00,2026-01-03,ORD_00015
LEDGER_00016,82897.00,2026-01-20,ORD_00016
LEDGER_00017,25703.00,2026-01-23,ORD_00017
LEDGER_00018,87173.00,2026-01-08,ORD_00018
LEDGER_00019,31012.00,2026-01-28,ORD_00019
LEDGER_00020,36934.00,2026-01-15,ORD_00020
LEDGER_00021,49020.00,2026-01-12,ORD_00021
LEDGER_00022,35493.00,2026-01-23,ORD_00022
LEDGER_00023,83727.00,2026-01-06,ORD_00023
LEDGER_00024,32587.00,2026-01-06,ORD_00024
LEDGER_00025,35882.00,2026-01-30,ORD_00025
LEDGER_00026,90233.00,2026-01-11,ORD_00026
LEDGER_00027,4707.00,2026-01-26,ORD_00027
LEDGER_00028,35593.00,2026-01-03,ORD_00028
LEDGER_00029,94598.00,2026-01-11,ORD_00029
LEDGER_00030,65935.00,2026-01-13,ORD_00030
LEDGER_00031,35218.00,2026-01-05,ORD_00031
LEDGER_00032,74079.00,2026-01-18,ORD_00032
LEDGER_00033,77122.00,2026-01-14,ORD_00033
LEDGER_00034,47947.00,2026-01-08,ORD_00034
LEDGER_00035,65186.00,2026-01-03,ORD_00035
LEDGER_00036,20533.00,2026-01-21,ORD_00036
LEDGER_00037,55833.00,2026-01-20,ORD_00037
LEDGER_00038,50519.00,2026-01-20,ORD_00038
LEDGER_00039,33453.00,2026-01-18,ORD_00039
LEDGER_00040,94966.00,2026-01-04,ORD_00040
LEDGER_00041,84512.00,2026-01-11,ORD_00041
LEDGER_00042,57485.00,2026-01-06,ORD_00042
LEDGER_00043,95146.00,2026-01-29,ORD_00043
LEDGER_00044,23916.00,2026-01-17,ORD_00044
LEDGER_00045,39617.00,2026-01-27,ORD_00045
LEDGER_00046,26571.00,2026-01-05,ORD_00046
LEDGER_00047,71197.00,2026-01-25,ORD_00047
LEDGER_00048,79004.00,2026-01-11,ORD_00048
LEDGER_00049,15162.00,2026-01-30,ORD_00049
LEDGER_00050,31885.00,2026-01-02,ORD_00050
LEDGER_00051,10822.00,2026-01-03,ORD_00051
LEDGER_00052,70322.00,2026-01-25,ORD_00052
LEDGER_00053,86974.00,2026-01-16,ORD_00053
LEDGER_00054,35241.00,2026-01-17,ORD_00054
LEDGER_00055,28260.00,2026-01-30,ORD_00055
LEDGER_00056,90922.00,2026-01-07,ORD_00056
LEDGER_00057,88539.00,2026-01-21,ORD_00057
LEDGER_00058,68339.00,2026-01-15,ORD_00058
LEDGER_00059,29951.00,2026-01-03,ORD_00059
LEDGER_00060,77610.00,2026-01-18,ORD_00060
LEDGER_00061,29364.00,2026-01-01,ORD_00061
LEDGER_00062,83219.00,2026-01-02,ORD_00062
LEDGER_00063,4617.00,2026-01-28,ORD_00063
LEDGER_00064,67891.00,2026-01-08,ORD_00064
LEDGER_00065,64124.00,2026-01-07,ORD_00065
LEDGER_00066,95311.00,2026-01-30,ORD_00066
LEDGER_00067,62453.00,2026-01-08,ORD_00067
LEDGER_00068,25457.00,2026-01-04,ORD_00068
LEDGER_00069,56998.00,2026-01-12,ORD_00069
LEDGER_00070,61713.00,2026-01-28,ORD_00070
LEDGER_00071,86149.00,2026-01-21,ORD_00071
LEDGER_00072,53272.00,2026-01-24,ORD_00072
LEDGER_00073,33091.00,2026-01-07,ORD_00073
LEDGER_00074,59300.00,2026-01-05,ORD_00074
LEDGER_00075,37009.00,2026-01-15,ORD_00075
LEDGER_00076,58582.00,2026-01-26,ORD_00076
LEDGER_00077,7130.00,2026-01-21,ORD_00077
LEDGER_00078,12724.00,2026-01-30,ORD_00078
LEDGER_00079,53769.00,2026-01-16,ORD_00079
LEDGER_00080,53065.00,2026-01-29,ORD_00080
LEDGER_00081,50172.00,2026-01-01,ORD_00081
LEDGER_00082,60138.00,2026-01-10,ORD_00082
LEDGER_00083,96248.00,2026-01-26,ORD_00083
LEDGER_00084,94663.00,2026-01-16,ORD_00084
LEDGER_00085,39390.00,2026-01-07,ORD_00085
LEDGER_00086,96934.00,2026-01-18,ORD_00086
LEDGER_00087,41604.00,2026-01-02,ORD_00087
LEDGER_00088,62993.00,2026-01-17,ORD_00088
LEDGER_00089,7955.00,2026-01-17,ORD_00089
LEDGER_00090,9481.00,2026-01-20,ORD_00090
LEDGER_00091,31328.00,2026-01-13,ORD_00091
LEDGER_00092,32771.00,2026-01-19,ORD_00092
LEDGER_00093,81683.00,2026-01-03,ORD_00093
LEDGER_00094,77003.00,2026-01-19,ORD_00094
LEDGER_00095,34679.00,2026-01-07,ORD_00095
LEDGER_00096,35314.00,2026-01-13,ORD_00096
LEDGER_00097,85107.00,2026-01-10,ORD_00097
LEDGER_00098,99048.00,2026-01-30,ORD_00098
LEDGER_00099,60568.00,2026-01-20,ORD_00099
LEDGER_00100,10102.00,2026-01-18,ORD_00100
LEDGER_00101,35260.00,2026-01-05,ORD_00101
LEDGER_00102,32518.00,2026-01-12,ORD_00102
LEDGER_00103,57933.00,2026-01-27,ORD_00103
LEDGER_00104,40151.00,2026-01-20,ORD_00104
LEDGER_00105,88038.00,2026-01-27,ORD_00105
LEDGER_00106,87451.00,2026-01-04,ORD_00106
LEDGER_00107,15629.00,2026-01-29,ORD_00107
LEDGER_00108,73012.00,2026-01-05,ORD_00108
LEDGER_00109,79776.00,2026-01-07,ORD_00109
LEDGER_00110,90611.00,2026-01-21,ORD_00110
LEDGER_00111,64532.00,2026-01-09,ORD_00111
LEDGER_00112,83636.00,2026-01-14,ORD_00112
LEDGER_00113,964.00,2026-01-11,ORD_00113
LEDGER_00114,34835.00,2026-01-06,ORD_00114
LEDGER_00115,92993.00,2026-01-14,ORD_00115
LEDGER_00116,15163.00,2026-01-03,ORD_00116
LEDGER_00117,5222.00,2026-01-27,ORD_00117
LEDGER_00118,72920.00,2026-01-05,ORD_00118
LEDGER_00119,5982.00,2026-01-10,ORD_00119
LEDGER_00120,47398.00,2026-01-07,ORD_00120
LEDGER_00121,13973.00,2026-01-12,ORD_00121
LEDGER_00122,81851.00,2026-01-24,ORD_00122
LEDGER_00123,21799.00,2026-01-26,ORD_00123
LEDGER_00124,3748.00,2026-01-06,ORD_00124
LEDGER_00125,88306.00,2026-01-28,ORD_00125
LEDGER_00126,21366.00,2026-01-26,ORD_00126
LEDGER_00127,5575.00,2026-01-28,ORD_00127
LEDGER_00128,26658.00,2026-01-27,ORD_00128
LEDGER_00129,40501.00,2026-01-27,ORD_00129
LEDGER_00130,3601.00,2026-01-22,ORD_00130
LEDGER_00131,43525.00,2026-01-09,ORD_00131
LEDGER_00132,46525.00,2026-01-21,ORD_00132
LEDGER_00133,89565.00,2026-01-27,ORD_00133
LEDGER_00134,4117.00,2026-01-04,ORD_00134
LEDGER_00135,76599.00,2026-01-09,ORD_00135
LEDGER_00136,78693.00,2026-01-14,ORD_00136
LEDGER_00137,41614.00,2026-01-14,ORD_00137
LEDGER_00138,15657.00,2026-01-13,ORD_00138
LEDGER_00139,33886.00,2026-01-02,ORD_00139
LEDGER_00140,68646.00,2026-01-30,ORD_00140
LEDGER_00141,94797.00,2026-01-24,ORD_00141
LEDGER_00142,57031.00,2026-01-03,ORD_00142
LEDGER_00143,41645.00,2026-01-22,ORD_00143
LEDGER_00144,39863.00,2026-01-17,ORD_00144
LEDGER_00145,54028.00,2026-01-11,ORD_00145
LEDGER_00146,39252.00,2026-01-18,ORD_00146
LEDGER_00147,55608.00,2026-01-22,ORD_00147
LEDGER_00148,98559.00,2026-01-29,ORD_00148
LEDGER_00149,75093.00,2026-01-10,ORD_00149
LEDGER_00150,553.00,2026-01-10,ORD_00150
LEDGER_00151,56846.00,2026-01-26,ORD_00151
LEDGER_00152,86313.00,2026-01-11,ORD_00152
LEDGER_00153,58454.00,2026-01-22,ORD_00153
LEDGER_00154,62521.00,2026-01-26,ORD_00154
LEDGER_00155,11614.00,2026-01-10,ORD_00155
LEDGER_00156,83460.00,2026-01-20,ORD_00156
LEDGER_00157,98953.00,2026-01-08,ORD_00157
LEDGER_00158,26600.00,2026-01-05,ORD_00158
LEDGER_00159,32592.00,2026-01-16,ORD_00159
LEDGER_00160,60192.00,2026-01-14,ORD_00160
LEDGER_00161,94655.00,2026-01-23,ORD_00161
LEDGER_00162,52883.00,2026-01-08,ORD_00162
LEDGER_00163,90628.00,2026-01-01,ORD_00163
LEDGER_00164,29183.00,2026-01-06,ORD_00164
LEDGER_00165,7082.00,2026-01-18,ORD_00165
LEDGER_00166,60329.00,2026-01-05,ORD_00166
LEDGER_00167,70116.00,2026-01-18,ORD_00167
LEDGER_00168,99492.00,2026-01-29,ORD_00168
LEDGER_00169,94776.00,2026-01-29,ORD_00169
LEDGER_00170,72310.00,2026-01-15,ORD_00170
LEDGER_00171,62716.00,2026-01-15,ORD_00171
LEDGER_00172,84079.00,2026-01-09,ORD_00172
LEDGER_00173,82649.00,2026-01-08,ORD_00173
LEDGER_00174,10655.00,2026-01-23,ORD_00174
LEDGER_00175,36114.00,2026-01-11,ORD_00175
